Epoch: [51][20/27], lr: 0.00010	Time 0.344 (1.059)	Data 0.000 (0.708)	Loss 1.4022 (1.3868)	Prec@1 25.000 (26.190)	Prec@5 62.500 (72.024)
Epoch: [52][0/27], lr: 0.00010	Time 15.039 (15.039)	Data 14.606 (14.606)	Loss 1.3830 (1.3830)	Prec@1 12.500 (12.500)	Prec@5 75.000 (75.000)
Epoch: [52][20/27], lr: 0.00010	Time 0.343 (1.043)	Data 0.000 (0.696)	Loss 1.3803 (1.3869)	Prec@1 37.500 (22.619)	Prec@5 87.500 (76.190)
Epoch: [53][0/27], lr: 0.00010	Time 14.916 (14.916)	Data 14.352 (14.352)	Loss 1.4095 (1.4095)	Prec@1 25.000 (25.000)	Prec@5 50.000 (50.000)
Epoch: [53][20/27], lr: 0.00010	Time 0.341 (1.038)	Data 0.000 (0.684)	Loss 1.4085 (1.3884)	Prec@1 12.500 (26.786)	Prec@5 62.500 (76.190)
Epoch: [54][0/27], lr: 0.00010	Time 11.299 (11.299)	Data 10.849 (10.849)	Loss 1.3877 (1.3877)	Prec@1 25.000 (25.000)	Prec@5 75.000 (75.000)
Epoch: [54][20/27], lr: 0.00010	Time 0.340 (0.961)	Data 0.000 (0.605)	Loss 1.4018 (1.3871)	Prec@1 37.500 (22.024)	Prec@5 75.000 (77.381)
Test: [0/6]	Time 2.354 (2.354)	Loss 1.3371 (1.3371)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 76.087 Loss 1.38886 
Best Prec@1: 28.261
Epoch: [55][0/27], lr: 0.00010	Time 13.652 (13.652)	Data 13.244 (13.244)	Loss 1.3779 (1.3779)	Prec@1 50.000 (50.000)	Prec@5 75.000 (75.000)
Epoch: [55][20/27], lr: 0.00010	Time 0.341 (0.975)	Data 0.000 (0.631)	Loss 1.3921 (1.3893)	Prec@1 25.000 (22.619)	Prec@5 75.000 (69.048)
Epoch: [56][0/27], lr: 0.00010	Time 11.156 (11.156)	Data 10.754 (10.754)	Loss 1.3763 (1.3763)	Prec@1 12.500 (12.500)	Prec@5 87.500 (87.500)
Epoch: [56][20/27], lr: 0.00010	Time 0.345 (0.908)	Data 0.000 (0.552)	Loss 1.4059 (1.3909)	Prec@1 12.500 (25.595)	Prec@5 75.000 (76.190)
Epoch: [57][0/27], lr: 0.00010	Time 12.261 (12.261)	Data 11.797 (11.797)	Loss 1.4106 (1.4106)	Prec@1 12.500 (12.500)	Prec@5 62.500 (62.500)
Epoch: [57][20/27], lr: 0.00010	Time 0.345 (0.913)	Data 0.000 (0.562)	Loss 1.3805 (1.3879)	Prec@1 25.000 (24.405)	Prec@5 87.500 (76.190)
Epoch: [58][0/27], lr: 0.00010	Time 12.334 (12.334)	Data 11.831 (11.831)	Loss 1.3763 (1.3763)	Prec@1 50.000 (50.000)	Prec@5 87.500 (87.500)
Epoch: [58][20/27], lr: 0.00010	Time 0.343 (0.969)	Data 0.000 (0.621)	Loss 1.3805 (1.3885)	Prec@1 37.500 (25.000)	Prec@5 75.000 (74.405)
Epoch: [59][0/27], lr: 0.00010	Time 11.070 (11.070)	Data 10.432 (10.432)	Loss 1.3668 (1.3668)	Prec@1 25.000 (25.000)	Prec@5 87.500 (87.500)
Epoch: [59][20/27], lr: 0.00010	Time 0.342 (0.879)	Data 0.000 (0.511)	Loss 1.3984 (1.3896)	Prec@1 12.500 (25.595)	Prec@5 75.000 (76.190)
Test: [0/6]	Time 2.189 (2.189)	Loss 1.3722 (1.3722)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 76.087 Loss 1.38719 
Best Prec@1: 28.261
Epoch: [60][0/27], lr: 0.00010	Time 12.940 (12.940)	Data 12.419 (12.419)	Loss 1.3814 (1.3814)	Prec@1 37.500 (37.500)	Prec@5 75.000 (75.000)
Epoch: [60][20/27], lr: 0.00010	Time 0.341 (0.942)	Data 0.000 (0.592)	Loss 1.4091 (1.3894)	Prec@1 25.000 (25.000)	Prec@5 50.000 (75.000)
Epoch: [61][0/27], lr: 0.00010	Time 9.742 (9.742)	Data 9.142 (9.142)	Loss 1.3558 (1.3558)	Prec@1 50.000 (50.000)	Prec@5 100.000 (100.000)
Epoch: [61][20/27], lr: 0.00010	Time 0.346 (0.829)	Data 0.000 (0.464)	Loss 1.3872 (1.3886)	Prec@1 25.000 (23.810)	Prec@5 75.000 (75.595)
Epoch: [62][0/27], lr: 0.00010	Time 11.597 (11.597)	Data 11.167 (11.167)	Loss 1.3857 (1.3857)	Prec@1 12.500 (12.500)	Prec@5 75.000 (75.000)
Epoch: [62][20/27], lr: 0.00010	Time 0.343 (0.879)	Data 0.000 (0.532)	Loss 1.3879 (1.3898)	Prec@1 25.000 (24.405)	Prec@5 75.000 (75.595)
Epoch: [63][0/27], lr: 0.00010	Time 10.779 (10.779)	Data 10.369 (10.369)	Loss 1.4015 (1.4015)	Prec@1 25.000 (25.000)	Prec@5 62.500 (62.500)
Epoch: [63][20/27], lr: 0.00010	Time 0.341 (0.838)	Data 0.000 (0.494)	Loss 1.3575 (1.3865)	Prec@1 12.500 (22.619)	Prec@5 100.000 (78.571)
Epoch: [64][0/27], lr: 0.00010	Time 10.679 (10.679)	Data 10.137 (10.137)	Loss 1.4126 (1.4126)	Prec@1 25.000 (25.000)	Prec@5 50.000 (50.000)
Epoch: [64][20/27], lr: 0.00010	Time 0.343 (0.836)	Data 0.000 (0.483)	Loss 1.3927 (1.3926)	Prec@1 12.500 (22.024)	Prec@5 75.000 (64.881)
Test: [0/6]	Time 2.310 (2.310)	Loss 1.3817 (1.3817)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 76.087 Loss 1.38594 
Best Prec@1: 28.261
Epoch: [65][0/27], lr: 0.00010	Time 10.416 (10.416)	Data 9.913 (9.913)	Loss 1.3769 (1.3769)	Prec@1 25.000 (25.000)	Prec@5 87.500 (87.500)
